publisher,code,text,count,category,category_year
ibis_denmark,8.10.2,"The actual value should be a valid number for all non-qualitative indicator measures (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal).",2,> 1M & <= 10M,2019
ibis_denmark,102.1.1,"When a non OECD DAC sector vocabulary is used, sector vocabulary 1 - OECD DAC should also be used.",4,> 1M & <= 10M,2019
ibis_denmark,8.9.2,"The target value should be a valid number for all non-qualitative measures (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal)",5,> 1M & <= 10M,2019
icauk,0.0.0,No messages for publisher,0,No spend data for 2018-2020,
icco-cooperation,7.5.3,Budget Period must not be longer than one year.,146,> 10M & <= 100M,2018
icco-cooperation,11.1.5,The actual end date of the activity must not be in the future.,56,> 10M & <= 100M,2018
icco-cooperation,2.1.2,"Percentage values for sectors, within a vocabulary (e.g. 1 - OECD DAC), must add up to 100%.",5,> 10M & <= 100M,2018
icco-cooperation,3.7.1,Recipient country or recipient region should be declared for either the activity or for all transactions.,10,> 10M & <= 100M,2018
icco-cooperation,9.76.1,The OECD DAC sector is invalid.,1,> 10M & <= 100M,2018
icco-cooperation,1.1.1,The activity identifier should begin with the organisation identifier of the reporting organisation (or a previous version included in the other-identifier element).,8,> 10M & <= 100M,2018
icco-cooperation,11.2.1,The transaction date must not be in the future.,7,> 10M & <= 100M,2018
icco-cooperation,11.2.2,The transaction value date must not be in the future.,7,> 10M & <= 100M,2018
icco-cooperation,8.6.1,The start date of the indicator period must be before the end date of the indicator period.,11,> 10M & <= 100M,2018
icco-cooperation,6.2.2,"Each activity must have a specified sector, either at activity level OR for all transactions.",199,> 10M & <= 100M,2018
icco-cooperation,9.42.1,The organisation type is invalid.,60,> 10M & <= 100M,2018
icco-cooperation,11.1.3,The actual start date of the activity must be before the actual end date.,18,> 10M & <= 100M,2018
icco-cooperation,4.3.1,The title must contain narrative content.,37,> 10M & <= 100M,2018
icco-cooperation,1.1.21,The activity identifier should be your IATI Organisation Identifier followed by a unique string for the activity separated by a hyphen e.g. COH-1234-activity1,6,> 10M & <= 100M,2018
icco-cooperation,11.1.2,The planned start date of the activity must be before the planned end date.,1,> 10M & <= 100M,2018
icco-cooperation,9.85.1,The recipient country code is invalid.,4,> 10M & <= 100M,2018
icco-cooperation,3.6.2,Recipient countries or regions must only be declared at activity level OR for all transactions.,249,> 10M & <= 100M,2018
icco-cooperation,3.1.2,"Percentage values for recipient countries, must add up to 100%.",28,> 10M & <= 100M,2018
icco-cooperation,12.1.1,The country/region percentage value must be between 0.0 and 100.0 (inclusive).,28,> 10M & <= 100M,2018
icco-cooperation,1.1.3,The activity identifier must be different to the organisation identifier of the reporting organisation.,1,> 10M & <= 100M,2018
icdi,7.5.3,Budget Period must not be longer than one year.,6,> 1M & <= 10M,2018
icf,1.1.1,The activity identifier should begin with the organisation identifier of the reporting organisation (or a previous version included in the other-identifier element).,3,<=1M,2020
icf,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",7,<=1M,2020
icf,1.4.1,The identifier should not start or end with spaces or newlines.,3,<=1M,2020
icf,1.15.1,The identifier should not start or end with spaces or newlines.,1,<=1M,2020
icf,6.14.1,"When using a policy marker for vocabulary 1, it must include a significance.",1,<=1M,2020
icf,1.14.8,The reporting-org identifier does not start with a known prefix.,6,<=1M,2020
icipe,0.0.0,No messages for publisher,0,No spend data for 2018-2020,
icm_mx,0.0.0,No messages for publisher,0,No spend data for 2018-2020,
icn,0.0.0,No messages for publisher,0,No spend data for 2018-2020,
icnl_org,7.5.3,Budget Period must not be longer than one year.,5,> 1M & <= 10M,2020
icnl_org,11.1.5,The actual end date of the activity must not be in the future.,5,> 1M & <= 10M,2020
icnl_org,11.2.2,The transaction value date must not be in the future.,5,> 1M & <= 10M,2020
icraf_,7.5.3,Budget Period must not be longer than one year.,1,> 1M & <= 10M,2018
icraf_,8.10.2,The @value should be a valid number for all non-qualitative measures.,1,> 1M & <= 10M,2018
icraf_,8.8.2,The @value should be a valid number for all non-qualitative measures.,1,> 1M & <= 10M,2018
icraf_,8.9.2,The @value should be a valid number for all non-qualitative measures.,1,> 1M & <= 10M,2018
icrc,2.2.1,"When using a reporting organisation sector code, it must include a narrative.",4,> 1B,2019
icrc,2.1.2,"Percentages for sectors, within a vocabulary (e.g. 1 - OECD DAC), must add up to 100%.",99,> 1B,2019
icrc,3.7.1,The activity should have recipient-country or recipient-region information for either the activity or for all transactions.,10,> 1B,2019
icrc,8.10.2,The @value should be a valid number for all non-qualitative measures.,46,> 1B,2019
icrc,4.1.1,"The activity should specify a default language, or the language must be specified for each narrative element.",272,> 1B,2019
icrc,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",272,> 1B,2019
icrc,8.9.2,The @value should be a valid number for all non-qualitative measures.,186,> 1B,2019
icrc,4.4.1,The description must contain narrative content.,11,> 1B,2019
icrc,9.51.1,The recipient region code is invalid.,20,> 1B,2019
icrc,1.1.2,The activity identifier must be unique for each activity.,6,> 1B,2019
ics,0.0.0,No messages for publisher,0,No spend data for 2018-2020,
ictj,8.10.3,The actual value should be omitted for qualitative indicator measures.,2,> 1M & <= 10M,2020
icva,2.2.1,"When using a reporting organisation sector code, it must include a narrative.",1,<=1M,2019
icva,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",1,<=1M,2019
icwrsa,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",1,No spend data for 2018-2020,
ida,0.0.0,No messages for publisher,0,No spend data for 2018-2020,
ide,0.0.0,No messages for publisher,0,No spend data for 2018-2020,
idea,1.1.1,The activity identifier should begin with the organisation identifier of the reporting organisation (or a previous version included in the other-identifier element).,1,> 10M & <= 100M,2019
idea,11.2.1,The transaction date must not be in the future.,4,> 10M & <= 100M,2019
idea,11.2.2,The transaction value date must not be in the future.,4,> 10M & <= 100M,2019
idea,4.4.1,The description must contain narrative content.,15,> 10M & <= 100M,2019
idea,1.8.1,The identifier should not start or end with spaces or newlines.,31,> 10M & <= 100M,2019
idea,6.10.1,The participating organisation must have an identifier or a narrative.,1,> 10M & <= 100M,2019
idea,1.1.2,The activity identifier must be unique for each activity.,110,> 10M & <= 100M,2019
ideo_org,3.7.1,The activity should have recipient-country or recipient-region information for either the activity or for all transactions.,1,No spend data for 2018-2020,
idh,8.9.3,The target value should be omitted for qualitative measures.,17,> 10M & <= 100M,2019
idh,8.10.3,The actual value should be omitted for qualitative indicator measures.,17,> 10M & <= 100M,2019
idh,8.10.1,"The actual must have a value when the indicator measure is non-qualitative (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal).",17,> 10M & <= 100M,2019
idh,8.10.2,"The actual value should be a valid number for all non-qualitative indicator measures (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal).",5,> 10M & <= 100M,2019
idh,8.8.2,"The baseline value should be a valid number for all non-qualitative measures (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal).",1,> 10M & <= 100M,2019
idh,1.10.1,The identifier should not start or end with spaces or newlines.,1,> 10M & <= 100M,2019
idh,8.9.2,"The target value should be a valid number for all non-qualitative measures (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal)",2,> 10M & <= 100M,2019
idh,8.9.1,"The target must have a value when indicator measure is non-qualitative (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal).",5,> 10M & <= 100M,2019
idi,6.9.1,The provider and receiver organisation must have an organisation identifier or a narrative.,1,> 1M & <= 10M,2019
idi,107.1.2,"Each activity should only contain one default aid type code per aid type vocabulary (e.g. 1 - OECD DAC)
        ",5,> 1M & <= 10M,2019
idinsight,6.9.1,The organisation must have an identifier or a narrative.,1,No spend data for 2018-2020,
idinsight,9.117.1,The country code is invalid.,1,No spend data for 2018-2020,
idlo,8.10.2,The @value should be a valid number for all non-qualitative measures.,1,> 10M & <= 100M,2019
idlo,8.8.2,The @value should be a valid number for all non-qualitative measures.,1,> 10M & <= 100M,2019
idlo,8.9.2,The @value should be a valid number for all non-qualitative measures.,1,> 10M & <= 100M,2019
idlo,1.5.1,The identifier should not start or end with spaces or newlines.,1,> 10M & <= 100M,2019
idlo,4.4.1,The description has no narrative content.,1,> 10M & <= 100M,2019
idom_mx,0.0.0,No messages for publisher,0,No spend data for 2018-2020,
idp,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",5,> 1M & <= 10M,2019
idrccrdi,6.9.1,The organisation must have an identifier or a narrative.,14,> 10M & <= 100M,2018
idrccrdi,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",8,> 10M & <= 100M,2018
idrccrdi,6.13.1,"When using a reporting organisation policy marker, it must include a narrative.",3182,> 10M & <= 100M,2018
idrccrdi,9.42.1,The organisation type is invalid.,2,> 10M & <= 100M,2018
idrccrdi,11.1.3,The actual start date must be before the actual end date.,32,> 10M & <= 100M,2018
idrccrdi,4.4.1,The description has no narrative content.,62,> 10M & <= 100M,2018
idrccrdi,9.51.1,The recipient region code is invalid.,3900,> 10M & <= 100M,2018
idrccrdi,6.10.1,The participating organisation must have an identifier or a narrative.,14,> 10M & <= 100M,2018
idrccrdi,9.10.1,The collaboration type is invalid.,9,> 10M & <= 100M,2018
ids,0.0.0,No messages for publisher,0,> 10M & <= 100M,2020
idydc,1.4.1,The identifier should not start or end with spaces or newlines.,1,No spend data for 2018-2020,
idydc,1.15.1,The identifier should not start or end with spaces or newlines.,1,No spend data for 2018-2020,
idydc,3.4.1,Percentages are missing for one or more recipient countries or regions.,2,No spend data for 2018-2020,
idydc,3.4.2,"Percentages for recipient countries or regions, must add up to 100%.",2,No spend data for 2018-2020,
ieu,6.9.1,The organisation must have an identifier or a narrative.,1,> 1M & <= 10M,2018
ieu,8.10.2,"The actual value should be a valid number for all non-qualitative indicator measures (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal).",1,> 1M & <= 10M,2018
ieu,6.14.1,"When using a policy marker for vocabulary 1, it must include a significance.",3,> 1M & <= 10M,2018
ieu,6.13.1,"When using a reporting organisation policy marker, it must include a narrative.",1,> 1M & <= 10M,2018
ieu,4.4.1,The description must contain narrative content.,1,> 1M & <= 10M,2018
ifac,11.1.5,The actual end date of the activity must not be in the future.,1,No spend data for 2018-2020,
ifac,2.1.1,"Percentages are missing for one or more sectors, within a vocabulary (e.g. 1 - OECD DAC).",10,No spend data for 2018-2020,
ifac,1.3.1,The identifier should not start or end with spaces or newlines.,1,No spend data for 2018-2020,
ifad,102.1.1,"When a non OECD DAC sector vocabulary is used, sector vocabulary 1 - OECD DAC should also be used.",1149,> 100M & <= 1B,2019
ifad,9.83.1,The finance type is invalid.,22,> 100M & <= 1B,2019
ifad,9.94.1,The currency code is invalid.,16,> 100M & <= 1B,2019
ifangni,7.5.3,Budget Period must not be longer than one year.,1,No spend data for 2018-2020,
ifangni,8.10.2,The @value should be a valid number for all non-qualitative measures.,1,No spend data for 2018-2020,
ifangni,8.8.2,The @value should be a valid number for all non-qualitative measures.,1,No spend data for 2018-2020,
ifangni,8.9.2,The @value should be a valid number for all non-qualitative measures.,1,No spend data for 2018-2020,
ifcwbg,4.1.1,"The activity should specify a default language, or the language must be specified for each narrative element.",5341,No spend data for 2018-2020,
ifcwbg,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",5341,No spend data for 2018-2020,
ifcwbg,9.50.1,The recipient country code is invalid.,704,No spend data for 2018-2020,
ifcwbg,4.4.1,The description has no narrative content.,1817,No spend data for 2018-2020,
ifcwbg,1.1.2,The activity identifier must not occur multiple times in the dataset.,10,No spend data for 2018-2020,
ifdc-us,7.5.3,Budget Period must not be longer than one year.,1,> 10M & <= 100M,2019
ifdc-us,8.10.2,"The actual value should be a valid number for all non-qualitative indicator measures (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal).",1,> 10M & <= 100M,2019
ifdc-us,6.13.1,"When using a reporting organisation policy marker code (vocabulary 99), it must include a narrative.",1,> 10M & <= 100M,2019
ifdc-us,6.2.2,"Each activity must have a specified sector, either at activity level OR for all transactions.",1,> 10M & <= 100M,2019
ifoam,3.7.1,Recipient country or recipient region should be declared for either the activity or for all transactions.,9,No spend data for 2018-2020,
ifpri,1.3.13,"The identifier must not contain any of the symbols /, &, | or ?.",1,No spend data for 2018-2020,
ifrcrcs,7.5.3,Budget Period must not be longer than one year.,1597,> 1B,2018
ifrcrcs,4.1.1,"The activity should specify a default language, or the language must be specified for each narrative element.",5863,> 1B,2018
ifrcrcs,4.3.1,The title has no narrative content.,1962,> 1B,2018
ifrcrcs,9.27.1,The document format is invalid.,46,> 1B,2018
ifsi_isvi,6.9.1,The organisation must have an identifier or a narrative.,13,> 1M & <= 10M,2018
ifsi_isvi,8.10.2,The @value should be a valid number for all non-qualitative measures.,1,> 1M & <= 10M,2018
ihedelft,8.10.1,"The actual must have a value when the indicator measure is non-qualitative (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal).",1,> 1M & <= 10M,2018
ihedelft,8.10.2,"The actual value should be a valid number for all non-qualitative indicator measures (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal).",1,> 1M & <= 10M,2018
ihedelft,8.9.2,"The target value should be a valid number for all non-qualitative measures (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal)",1,> 1M & <= 10M,2018
iif,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",1,No spend data for 2018-2020,
iiss,0.0.0,No messages for publisher,0,<=1M,2019
iiwe,6.9.1,The organisation must have an identifier or a narrative.,1,> 1M & <= 10M,2018
iiwe,8.10.2,The @value should be a valid number for all non-qualitative measures.,2,> 1M & <= 10M,2018
iiwe,8.9.2,The @value should be a valid number for all non-qualitative measures.,1,> 1M & <= 10M,2018
iiwe,1.15.13,"The identifier must not contain any of the symbols /, &, | or ?.",3,> 1M & <= 10M,2018
ilo,11.1.5,The actual end date of the activity must not be in the future.,149,> 1B,2019
ilo,9.50.1,The recipient country code is invalid.,596,> 1B,2019
ilo,8.6.3,The start of the period must be before the end of the period.,107,> 1B,2019
ilo,11.1.3,The actual start date must be before the actual end date.,77,> 1B,2019
ilo,4.4.1,The description has no narrative content.,2163,> 1B,2019
ilo,9.51.1,The recipient region code is invalid.,1,> 1B,2019
ilo,9.83.1,The finance type is invalid.,1902,> 1B,2019
ilo,9.85.1,The recipient country code is invalid.,595,> 1B,2019
ilo,3.6.2,"If the activity has recipient-country or recipient-region information, none of the transactions should have a recipient-country or recipient-region.",1902,> 1B,2019
ilo,9.117.1,The country code is invalid.,1,> 1B,2019
imc_uk,2.2.1,"When using a reporting organisation sector code, it must include a narrative.",1,> 10M & <= 100M,2020
imc_uk,8.10.2,The @value should be a valid number for all non-qualitative measures.,1,> 10M & <= 100M,2020
imc_uk,8.11.1,"If a result has a reference code, the indicator must not have a reference code.",1,> 10M & <= 100M,2020
imc_uk,8.8.2,The @value should be a valid number for all non-qualitative measures.,1,> 10M & <= 100M,2020
imc_uk,7.5.2,Budget Value must include a Value Date.,1,> 10M & <= 100M,2020
imc_uk,4.1.1,"The activity should specify a default language, or the language must be specified for each narrative element.",1,> 10M & <= 100M,2020
imc_uk,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",1,> 10M & <= 100M,2020
imc_uk,1.4.1,The identifier should not start or end with spaces or newlines.,1,> 10M & <= 100M,2020
imc_uk,8.9.2,The @value should be a valid number for all non-qualitative measures.,2,> 10M & <= 100M,2020
imc_uk,8.8.1,"The baseline must have a value when indicator measure is unit (1), percentage (2), nominal (3) or ordinal (4).",2,> 10M & <= 100M,2020
imc_uk,1.5.1,The identifier should not start or end with spaces or newlines.,1,> 10M & <= 100M,2020
imc_uk,1.15.13,"The identifier must not contain any of the symbols /, &, | or ?.",1,> 10M & <= 100M,2020
imc_uk,8.9.1,"The target must have a value when indicator measure is unit (1), percentage (2), nominal (3) or ordinal (4).",1,> 10M & <= 100M,2020
imcw_admin,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",21,> 1M & <= 10M,2019
imcw_admin,1.4.1,The identifier should not start or end with spaces or newlines.,1,> 1M & <= 10M,2019
imcw_admin,3.4.1,Percentages are missing for one or more recipient countries or regions.,83,> 1M & <= 10M,2019
imcw_admin,3.1.2,"Percentages for recipient countries, must add up to 100%.",6,> 1M & <= 10M,2019
imdmozambique,2.2.1,"When using a reporting organisation sector code, it must include a narrative.",1,> 1M & <= 10M,2018
imdmozambique,2.1.4,"For a single sector, the percentage must either be omitted, or set to 100.",2,> 1M & <= 10M,2018
imdmozambique,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",7,> 1M & <= 10M,2018
imdmozambique,1.10.1,The identifier should not start or end with spaces or newlines.,2,> 1M & <= 10M,2018
imdmozambique,107.2.1,The transaction should also contain a code from the DAC Type of Aid vocabulary.,3,> 1M & <= 10M,2018
imf,11.1.5,The actual end date of the activity must not be in the future.,3,> 10M & <= 100M,2018
imf,2.1.1,"Percentages are missing for one or more sectors, within a vocabulary (e.g. 1 - OECD DAC).",1,> 10M & <= 100M,2018
impact_initiatives,102.1.1,"When a non OECD DAC sector vocabulary is used, sector vocabulary 1 - OECD DAC should also be used.",3,> 1M & <= 10M,2020
imperial,0.0.0,No messages for publisher,0,No spend data for 2018-2020,
ims,11.1.5,The actual end date of the activity must not be in the future.,1,No spend data for 2018-2020,
ims,1.4.1,The identifier should not start or end with spaces or newlines.,1,No spend data for 2018-2020,
inasp,1.10.1,The identifier should not start or end with spaces or newlines.,1,<=1M,2019
inasp,1.4.1,The identifier should not start or end with spaces or newlines.,1,<=1M,2019
inbar,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",9,No spend data for 2018-2020,
indtrust,0.0.0,No messages for publisher,0,<=1M,2018
ine_benin,7.5.3,Budget Period must not be longer than one year.,1,<=1M,2019
ine_benin,3.7.1,The activity should have recipient-country or recipient-region information for either the activity or for all transactions.,1,<=1M,2019
ine_benin,8.10.2,The @value should be a valid number for all non-qualitative measures.,1,<=1M,2019
ine_benin,8.9.2,The @value should be a valid number for all non-qualitative measures.,1,<=1M,2019
inhive,0.0.0,No messages for publisher,0,<=1M,2018
inpud_admin,6.9.1,The organisation must have an identifier or a narrative.,1,<=1M,2018
inpud_admin,2.1.4,"For a single sector, the percentage must either be omitted, or set to 100.",7,<=1M,2018
inpud_admin,1.1.1,The activity identifier should begin with the organisation identifier of the reporting organisation (or a previous version included in the other-identifier element).,1,<=1M,2018
inpud_admin,8.11.1,"If a result has a reference code, the indicator must not have a reference code.",3,<=1M,2018
inpud_admin,3.4.1,Percentages are missing for one or more recipient countries or regions.,3,<=1M,2018
inso,3.7.1,The activity should have recipient-country or recipient-region information for either the activity or for all transactions.,1,No spend data for 2018-2020,
instiglio,11.2.1,The transaction date must not be in the future.,1,<=1M,2018
instiglio,11.2.2,The transaction value date must not be in the future.,1,<=1M,2018
integrity,0.0.0,No messages for publisher,0,No spend data for 2018-2020,
integrity_action,7.5.3,Budget Period must not be longer than one year.,13,<=1M,2019
integrity_action,3.7.1,Recipient country or recipient region should be declared for either the activity or for all transactions.,1,<=1M,2019
integrity_action,9.76.1,The OECD DAC sector is invalid.,27,<=1M,2019
integrity_action,7.5.2,Budget Value must include a Value Date.,27,<=1M,2019
integrity_action,4.1.1,The activity should specify a default language OR the language must be specified for each narrative element.,27,<=1M,2019
integrity_action,6.2.2,"Each activity must have a specified sector, either at activity level OR for all transactions.",10,<=1M,2019
integrity_action,8.6.3,The start of the period must be before the end of the period.,1,<=1M,2019
integrity_action,11.1.3,The actual start date of the activity must be before the actual end date.,1,<=1M,2019
interaction,3.7.1,The activity should have recipient-country or recipient-region information for either the activity or for all transactions.,12,No spend data for 2018-2020,
interaction,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",37,No spend data for 2018-2020,
interaction,6.2.2,"Each activity must have a specified Sector Classification, at either activity level, or for ALL transactions.",1,No spend data for 2018-2020,
interaction,9.42.1,The organisation type is invalid.,7,No spend data for 2018-2020,
interaction,1.1.21,The activity identifier's prefix and suffix should be separated by a hyphen e.g. XM-DAC-2222,2,No spend data for 2018-2020,
interaction,4.4.1,The description has no narrative content.,2,No spend data for 2018-2020,
interaction,9.94.1,The currency code is invalid.,3,No spend data for 2018-2020,
interaction,1.1.2,The activity identifier must not occur multiple times in the dataset.,2,No spend data for 2018-2020,
interburns,7.5.3,Budget Period must not be longer than one year.,1,<=1M,2018
international-alert,1.10.1,The identifier should not start or end with spaces or newlines.,6,> 1M & <= 10M,2018
international-alert,1.4.1,The identifier should not start or end with spaces or newlines.,4,> 1M & <= 10M,2018
international-alert,6.2.2,"Each activity must have a specified Sector Classification, at either activity level, or for ALL transactions.",33,> 1M & <= 10M,2018
international-alert,3.4.1,Percentages are missing for one or more recipient countries or regions.,29,> 1M & <= 10M,2018
international-alert,1.5.1,The identifier should not start or end with spaces or newlines.,2,> 1M & <= 10M,2018
international-alert,8.6.3,The start of the period must be before the end of the period.,4,> 1M & <= 10M,2018
international-alert,1.3.1,The identifier should not start or end with spaces or newlines.,5,> 1M & <= 10M,2018
interpeace,0.0.0,No messages for publisher,0,No spend data for 2018-2020,
intersos_main,0.0.0,No messages for publisher,0,<=1M,2019
intrac,0.0.0,No messages for publisher,0,<=1M,2019
intrahealth,7.5.3,Budget Period must not be longer than one year.,1,No spend data for 2018-2020,
intrahealth,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",1,No spend data for 2018-2020,
intrahealth,3.4.1,Percentages are missing for one or more recipient countries or regions.,1,No spend data for 2018-2020,
iodparc,7.5.3,Budget Period must not be longer than one year.,2,<=1M,2018
iodparc,7.5.2,Budget Value must include a Value Date.,3,<=1M,2018
iodparc,4.1.1,The activity should specify a default language OR the language must be specified for each narrative element.,3,<=1M,2018
iom,7.5.3,Budget Period must not be longer than one year.,1240,No spend data for 2018-2020,
ip-india,6.6.2,Sectors are present at both the activity AND transaction level. Sectors should only be present at activity OR transaction level.,1,No spend data for 2018-2020,
ip-india,9.90.1,The OECD DAC sector is invalid.,1,No spend data for 2018-2020,
ipa,7.5.3,Budget Period must not be longer than one year.,6,No spend data for 2018-2020,
ipa,9.76.1,The OECD DAC sector is invalid.,1,No spend data for 2018-2020,
ipa,7.5.2,Budget Value must include a Value Date.,3,No spend data for 2018-2020,
ipa,4.1.1,"The activity should specify a default language, or the language must be specified for each narrative element.",3,No spend data for 2018-2020,
ipa,6.2.2,"Each activity must have a specified Sector Classification, at either activity level, or for ALL transactions.",1,No spend data for 2018-2020,
ipa,3.4.1,Percentages are missing for one or more recipient countries or regions.,3,No spend data for 2018-2020,
ipa,6.6.2,Sectors are present at both the activity AND transaction level. Sectors should only be present at activity OR transaction level.,1,No spend data for 2018-2020,
ipa,9.90.1,The OECD DAC sector is invalid.,1,No spend data for 2018-2020,
ipao,2.2.1,"When using a reporting organisation sector code, it must include a narrative.",6,<=1M,2018
ipao,3.7.1,The activity should have recipient-country or recipient-region information for either the activity or for all transactions.,2,<=1M,2018
ipao,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",10,<=1M,2018
ipas,3.4.1,Percentages are missing for one or more recipient countries or regions.,1,> 1M & <= 10M,2019
ipe,11.1.5,The actual end date of the activity must not be in the future.,1,<=1M,2019
ipeglobal,6.14.1,"When using a policy marker for vocabulary 1, it must include a significance.",4,> 1M & <= 10M,2020
ippf,6.9.1,The organisation must have an identifier or a narrative.,7,> 10M & <= 100M,2019
ippf,8.10.2,The @value should be a valid number for all non-qualitative measures.,5,> 10M & <= 100M,2019
ippf,1.15.1,The identifier should not start or end with spaces or newlines.,1,> 10M & <= 100M,2019
ippf,8.9.2,The @value should be a valid number for all non-qualitative measures.,5,> 10M & <= 100M,2019
ippf,8.8.1,"The baseline must have a value when indicator measure is unit (1), percentage (2), nominal (3) or ordinal (4).",2,> 10M & <= 100M,2019
iraq_foundation,8.9.3,The @value should be omitted for qualitative measures.,2,<=1M,2018
iraq_foundation,8.10.3,The @value should be omitted for qualitative measures.,3,<=1M,2018
iraq_foundation,8.10.2,The @value should be a valid number for all non-qualitative measures.,2,<=1M,2018
iraq_foundation,8.9.2,The @value should be a valid number for all non-qualitative measures.,1,<=1M,2018
irc,7.5.3,Budget Period must not be longer than one year.,13,> 1M & <= 10M,2019
irc,3.7.1,The activity should have recipient-country or recipient-region information for either the activity or for all transactions.,1,> 1M & <= 10M,2019
irc,9.76.1,The OECD DAC sector is invalid.,2,> 1M & <= 10M,2019
irc,8.10.2,The @value should be a valid number for all non-qualitative measures.,9,> 1M & <= 10M,2019
irc,1.1.1,The activity identifier should begin with the organisation identifier of the reporting organisation (or a previous version included in the other-identifier element).,16,> 1M & <= 10M,2019
irc,8.8.2,The @value should be a valid number for all non-qualitative measures.,4,> 1M & <= 10M,2019
irc,8.9.2,The @value should be a valid number for all non-qualitative measures.,5,> 1M & <= 10M,2019
irc_inc,3.7.1,The activity should have recipient-country or recipient-region information for either the activity or for all transactions.,1,> 10M & <= 100M,2019
irc_inc,8.9.3,The @value should be omitted for qualitative measures.,1,> 10M & <= 100M,2019
irc_inc,8.10.2,The @value should be a valid number for all non-qualitative measures.,1,> 10M & <= 100M,2019
irc_inc,1.10.1,The identifier should not start or end with spaces or newlines.,1,> 10M & <= 100M,2019
irc_inc,1.4.1,The identifier should not start or end with spaces or newlines.,1,> 10M & <= 100M,2019
irc_inc,1.15.1,The identifier should not start or end with spaces or newlines.,2,> 10M & <= 100M,2019
irc_inc,6.14.1,"When using a policy marker for vocabulary 1, it must include a significance.",2,> 10M & <= 100M,2019
irc_inc,8.9.2,The @value should be a valid number for all non-qualitative measures.,2,> 10M & <= 100M,2019
irc_inc,3.4.1,Percentages are missing for one or more recipient countries or regions.,1,> 10M & <= 100M,2019
irc_inc,1.5.1,The identifier should not start or end with spaces or newlines.,3,> 10M & <= 100M,2019
irc_inc,1.1.2,The activity identifier must not occur multiple times in the dataset.,2,> 10M & <= 100M,2019
irc_uk,1.4.1,The identifier should not start or end with spaces or newlines.,1,> 10M & <= 100M,2018
irc_uk,6.14.1,"When using a policy marker for vocabulary 1, it must include a significance.",2,> 10M & <= 100M,2018
irc_uk,1.5.1,The identifier should not start or end with spaces or newlines.,2,> 10M & <= 100M,2018
irc_uk,1.1.2,The activity identifier must not occur multiple times in the dataset.,2,> 10M & <= 100M,2018
irex,8.10.2,The @value should be a valid number for all non-qualitative measures.,2,No spend data for 2018-2020,
irex,8.11.1,"If a result has a reference code, the indicator must not have a reference code.",2,No spend data for 2018-2020,
irex,8.9.2,The @value should be a valid number for all non-qualitative measures.,3,No spend data for 2018-2020,
irise_int,0.0.0,No messages for publisher,0,<=1M,2018
irishaid,1.15.1,The identifier should not start or end with spaces or newlines.,1,> 100M & <= 1B,2018
irishaid,9.27.1,The document format is invalid.,62,> 100M & <= 1B,2018
